1606500242.94,0.856
1606500244.81,0.448
1606500246.27,0.718
1606500247.99,3.044
1606500252.05,0.334
1606500253.4,0.529
1606500254.93,3.625
1606500259.57,0.335
1606500260.92,0.773
1606500262.71,0.842
1606500264.56,0.635
1606500266.21,0.209
1606500267.42,0.689
1606500269.12,0.406
1606500270.54,0.461
1606500272.01,0.448
1606500273.47,0.344
1606500274.83,0.587
1606500276.42,3.296
1606500280.73,0.386
1606500282.13,0.408
1606500283.54,0.464
1606500285.02,0.395
1606500286.42,0.553
1606500287.99,0.538
1606500289.53,0.635
1606500291.18,1.382
1606500293.57,0.498
1606500295.08,0.749
1606500296.84,1.427
1606500299.27,1.568
1606500301.85,0.434
