1606500305.903363,0
1606500306.006868,20
1606500306.111212,20
1606500306.216412,19
1606500306.319908,19
1606500306.425940,19
1606500306.534365,18
1606500306.642709,19
1606500306.752852,18
1606500306.857062,19
1606500306.961166,20
1606500307.064698,17
1606500307.168690,4
1606500307.273708,8
1606500307.377602,13
1606500307.482083,9
1606500307.586879,11
1606500307.691366,12
1606500307.795510,7
1606500307.899546,14
1606500308.004232,18
1606500308.108109,18
1606500308.215040,10
1606500308.319090,11
1606500308.424360,14
1606500308.528411,14
1606500308.632392,11
1606500308.737040,10
1606500308.841628,10
1606500308.946210,11
1606500309.051310,12
1606500309.155839,13
1606500309.260614,14
1606500309.368560,15
1606500309.474789,17
1606500309.578988,17
1606500309.685356,20
1606500309.789785,19
1606500309.895330,18
1606500309.998784,13
1606500310.106945,14
1606500310.210534,14
1606500310.319364,16
1606500310.423162,17
1606500310.526937,13
1606500310.630525,12
1606500310.733875,12
1606500310.837441,13
1606500310.944939,13
1606500311.048728,15
1606500311.153548,15
1606500311.259156,15
1606500311.362837,16
1606500311.468398,16
1606500311.574955,19
1606500311.680426,17
1606500311.786944,8
1606500311.895751,10
1606500312.001777,17
1606500312.111450,15
1606500312.215836,16
1606500312.319350,18
1606500312.422990,19
1606500312.529959,19
1606500312.633835,17
1606500312.737746,15
1606500312.841779,15
1606500312.945752,17
1606500313.050689,18
1606500313.154731,18
1606500313.260156,17
1606500313.365781,17
1606500313.471691,19
1606500313.576066,19
1606500313.681200,19
1606500313.785645,8
1606500313.889286,6
1606500313.996936,6
1606500314.100573,17
1606500314.207427,20
1606500314.312033,18
1606500314.416970,2
1606500314.525138,4
1606500314.633234,5
1606500314.736412,8
1606500314.840203,8
1606500314.945765,10
1606500315.049401,10
1606500315.153913,11
1606500315.258354,12
1606500315.362574,12
1606500315.471085,17
1606500315.575181,19
1606500315.681197,6
1606500315.785256,5
1606500315.889242,4
1606500315.993665,7
1606500316.098139,8
1606500316.204992,9
1606500316.309198,10
1606500316.413272,11
1606500316.517015,12
1606500316.620730,12
1606500316.724665,13
1606500316.828179,14
1606500316.946101,18
1606500317.049432,15
1606500317.154874,12
1606500317.261941,13
1606500317.365263,13
1606500317.468634,10
1606500317.572030,11
1606500317.676257,12
1606500317.780653,12
1606500317.884934,14
1606500317.989258,13
1606500318.092838,15
1606500318.197335,16
1606500318.302032,15
1606500318.406123,18
1606500318.509471,18
1606500318.613468,16
1606500318.716678,10
1606500318.820916,12
1606500318.924134,13
1606500319.028712,14
1606500319.133064,15
1606500319.238658,14
1606500319.343260,12
1606500319.447676,12
1606500319.553007,14
1606500319.657271,15
1606500319.762122,14
1606500319.866358,15
1606500319.970055,15
1606500320.074474,16
1606500320.179748,17
1606500320.283727,18
1606500320.391881,18
1606500320.496734,18
1606500320.607116,11
1606500320.710674,14
1606500320.814840,14
1606500320.919255,17
1606500321.022857,16
1606500321.127378,18
1606500321.230870,19
1606500321.336067,13
1606500321.440408,15
1606500321.544602,16
1606500321.648315,16
1606500321.751756,16
1606500321.855674,15
1606500321.959933,16
1606500322.071090,18
1606500322.175576,18
